main_word,forbidden1,forbidden2,forbidden3,forbidden4,forbidden5
PIZZA,Pomodoro,Mozzarella,Forno,Italia,Napoletana
SMARTPHONE,Telefono,App,Schermo,Chiamare,Touch
FACEBOOK,Social,Like,Zuckerberg,Post,Amici
CALCIO,Pallone,Sport,Squadra,Goal,Stadium
NETFLIX,Serie,Film,Streaming,Television,Abbonamento
UNICORNO,Cavallo,Corno,Magico,Fantasia,Bianco
TRAMONTO,Sole,Sera,Orizzonte,Arancione,Cielo
WIKIPEDIA,Enciclopedia,Internet,Informazioni,Articoli,Sapere
METRO,Sotterraneo,Treno,Stazione,Binari,Trasporto
CARNEVALE,Maschere,Festa,Coriandoli,Febbraio,Venezia
TERMOMETRO,Temperatura,Febbre,Gradi,Misurare,Mercurio
BOMBOLONE,Dolce,Crema,Zucchero,Fritto,Pasticceria
ARCOBALENO,Colori,Pioggia,Cielo,Spettro,Pace
GIRASOLE,Fiore,Sole,Giallo,Semi,Campo
ASTRONAUTA,Spazio,Nasa,Razzo,Luna,Tuta
VENEZIA,Gondola,Canali,Italia,Carnevale,Laguna
DINOSAURO,Estinto,Preistoria,T-Rex,Fossile,Gigante
STREGA,Magia,Scopa,Halloween,Pozioni,Cappello
ORIGAMI,Carta,Piegare,Giappone,Arte,Gru
CAFFÈ,Espresso,Tazzina,Mattino,Bevanda,Bar
TATUAGGIO,Ago,Pelle,Disegno,Permanente,Inchiostro
BUSSOLA,Nord,Direzione,Navigare,Ago,Orientare
MEDUSA,Mare,Tentacoli,Bruciare,Nuotare,Trasparente
MAPPAMONDO,Terra,Geografia,Continenti,Sfera,Paesi
VULCANO,Lava,Eruzione,Montagna,Fuoco,Magma
IGLÙ,Eschimesi,Ghiaccio,Neve,Casa,Polo
YOGA,Posizioni,Meditazione,India,Respiro,Relax
PIRAMIDE,Egitto,Faraone,Tomba,Sfinge,Triangolo
KARAOKE,Cantare,Microfono,Musica,Testo,Schermo
AQUILONE,Vento,Volare,Corda,Cielo,Bambini
MUMMIA,Egitto,Bende,Faraone,Tomba,Antico
OROSCOPO,Stelle,Segni,Zodiaco,Futuro,Previsioni
CASCATA,Acqua,Cadere,Fiume,Niagara,Rocce
CIRCO,Tendone,Clown,Acrobati,Spettacolo,Giocolieri
LABIRINTO,Perdere,Uscita,Percorso,Minotauro,Mura
ROBOT,Meccanico,Artificiale,Automatico,Metallo,Programmato
CALAMITA,Magnete,Attirare,Ferro,Poli,Frigo
ORIGINI,Inizio,Nascita,Partenza,Primo,Base
DETECTIVE,Indagare,Polizia,Mistero,Caso,Sherlock
TSUNAMI,Onda,Mare,Disastro,Giappone,Terremoto
ZOMBIE,Morto,Cervello,Vivente,Horror,Apocalisse
SUSHI,Giappone,Riso,Pesce,Bacchette,Wasabi
PINGUINO,Antartico,Uccello,Ghiaccio,Nero,Nuotare
DENTIFRICIO,Spazzolino,Denti,Menta,Pasta,Lavare
BOOMERANG,Australia,Tornare,Lanciare,Legno,Aborigeni
PARACADUTE,Saltare,Cielo,Aereo,Volare,Cadere
ALVEARE,Api,Miele,Insetti,Cera,Regina
VENTILATORE,Estate,Caldo,Aria,Pale,Raffreddare
DOMINO,Tessere,Cadere,Gioco,Fila,Puntini
MICROSCOPIO,Vedere,Piccolo,Lente,Laboratorio,Ingrandire
FOTOGRAFIA,Camera,Immagine,Scattare,Ricordo,Album
CANGURO,Australia,Saltare,Marsupio,Animale,Joey
COCKTAIL,Bere,Alcol,Mischiare,Bar,Bicchiere
FIAMMIFERO,Fuoco,Accendere,Legno,Zolfo,Scatola
FARFALLA,Volare,Ali,Insetto,Colori,Bruco
GELATERIA,Cono,Estate,Freddo,Gusti,Coppetta
LAMPADINA,Luce,Edison,Elettricità,Idea,Accendere
ELICOTTERO,Volare,Pale,Pilota,Aria,Verticale
TARTARUGA,Lenta,Guscio,Rettile,Mare,Lepre
GRATTACIELO,Alto,Edificio,Piano,Città,Skyline
ORCHESTRA,Musica,Strumenti,Direttore,Sinfonia,Concerto
POMPIERE,Fuoco,Acqua,Camion,Emergenza,Caserma
SCACCHI,Re,Regina,Cavallo,Pedine,Bianco
FANTASMA,Spirito,Invisibile,Paura,Castello,Bianco
MAGO,Magia,Trucchi,Bacchetta,Coniglio,Cappello
FLIPPER,Pallina,Gioco,Levette,Punti,Arcade
DRAGO,Fuoco,Ali,Mitologia,Cavaliere,Bestia
PAGLIACCIO,Circo,Naso,Ridere,Trucco,Spettacolo
TOSTAPANE,Pane,Caldo,Colazione,Elettrico,Fette
CALZINO,Piede,Scarpa,Vestito,Paio,Bucato
SEMAFORO,Verde,Rosso,Strada,Stop,Traffico
SUPEREROE,Poteri,Costume,Salvare,Marvel,Mantello
CANNUCCIA,Bere,Plastica,Bibita,Succhiare,Bicchiere
PALLONCINO,Gonfiare,Aria,Festa,Volare,Scoppiare
TELECOMANDO,TV,Bottoni,Batterie,Cambiare,Controllo
ALTALENA,Parco,Dondolare,Bambini,Gioco,Spingere
LIMONE,Acido,Giallo,Agrume,Spremuta,Frutto
PALLONE,Calcio,Rotondo,Sport,Gonfiare,Giocare
TAMBURO,Battere,Musica,Suono,Bacchette,Strumento
CHIAVE,Porta,Aprire,Serratura,Metallo,Lucchetto
CHITARRA,Corde,Musica,Suonare,Strumento,Plettro
OCCHIALI,Vedere,Lenti,Vista,Montatura,Naso
OMBRELLO,Pioggia,Riparare,Acqua,Aprire,Manico
GIOSTRA,Luna Park,Girare,Cavalli,Bambini,Musica
ASTRONAVE,Spazio,Alieno,Volare,Stelle,Pianeti
SKATEBOARD,Ruote,Tavola,Sport,Trick,Scivolare
GELATO,Freddo,Cono,Estate,Gusti,Dolce
POLPO,Mare,Tentacoli,Pesce,Otto,Inchiostro
MATITA,Scrivere,Disegnare,Legno,Gomma,Temperare
PALLONCINO,Gonfiare,Elio,Volare,Festa,Scoppiare
SPAZZOLA,Capelli,Pettine,Setole,Districare,Acconciatura
TROMBA,Musica,Fiato,Ottone,Jazz,Suonare
MANETTE,Polizia,Arrestare,Polsi,Chiave,Criminale
BOMBOLONE,Crema,Dolce,Fritto,Zucchero,Bar
AEROPORTO,Aerei,Volare,Terminal,Bagagli,Partenze
SALVAGENTE,Mare,Nuotare,Galleggiare,Piscina,Sicurezza
TRAPEZIO,Circo,Acrobata,Alto,Volare,Rete
MISSILE,Razzo,Guerra,Esplodere,Lanciare,Spazio
VAMPIRO,Sangue,Dracula,Notte,Morso,Aglio
MULINO,Vento,Grano,Pale,Farina,Girare
AVOCADO,Verde,Toast,Guacamole,Frutto,Seme
INSTAGRAM,Foto,Social,Storia,Like,Post
TIRAMISU,Caffe,Mascarpone,Dolce,Savoiardi,Cacao
CONCERTO,Musica,Palco,Biglietto,Live,Cantante
VIDEOGIOCO,Console,Giocare,PlayStation,Controller,Schermo
CORNETTO,Gelato,Cono,Crema,Estate,Cioccolato
DISNEYLAND,Topolino,Parco,Castello,Principesse,Attrazione
AUTOSTRADA,Macchina,Pedaggio,Traffico,Casello,Viaggio
SNOWBOARD,Neve,Tavola,Montagna,Sport,Inverno
FORCHETTA,Mangiare,Posata,Cucchiere,Cibo,Tavola
SPIAGGIA,Mare,Sabbia,Ombrellone,Estate,Sole
MATRIMONIO,Sposi,Anello,Festa,Chiesa,Vestito
PASSEGGINO,Bambino,Ruote,Spingere,Neonato,Carrozzina
STETOSCOPIO,Dottore,Cuore,Ascoltare,Medico,Ospedale
BANANA,Giallo,Frutta,Scimmia,Sbucciare,Dolce
AUTOBUS,Trasporto,Fermata,Pubblico,Biglietto,Viaggiare
BIBLIOTECA,Libri,Silenzio,Leggere,Studio,Prestito
ALLENATORE,Sport,Squadra,Campo,Tattica,Giocatori
BARBIERE,Capelli,Taglio,Forbici,Pettine,Rasare
POSTINO,Lettere,Consegna,Posta,Busta,Pacchi
GIORNALE,Notizie,Leggere,Articoli,Quotidiano,Pagine
ZUCCHERO,Dolce,Caffe,Bianco,Cucchiaino,Cucina
TELEFONO,Chiamare,Cellulare,Parlare,Numero,Contatti
BOTTIGLIA,Acqua,Vetro,Bere,Tappo,Contenitore
BICICLETTA,Ruote,Pedalare,Catena,Manubrio,Sella
BANDIERA,Nazione,Colori,Asta,Sventolare,Patria
COLTELLO,Tagliare,Lama,Cucina,Affilato,Posata
TASTIERA,Computer,Scrivere,Tasti,Mouse,Digitare
CAMINO,Fuoco,Legna,Inverno,Fumo,Caldo
SPECCHIO,Riflesso,Vetro,Guardare,Immagine,Bagno
FINESTRA,Vetro,Vista,Aprire,Casa,Luce
OROLOGIO,Tempo,Ore,Lancette,Minuti,Polso
SALVADANAIO,Soldi,Maiale,Risparmiare,Monete,Ceramica
LUCCHETTO,Chiave,Sicurezza,Aprire,Catena,Chiudere
PAPILLON,Cravatta,Nodo,Elegante,Vestito,Cerimonia
GIARDINIERE,Piante,Verde,Giardino,Fiori,Potare
PORTAFOGLIO,Soldi,Carte,Documento,Tasca,Pagare
PIANOFORTE,Musica,Tasti,Suonare,Strumento,Note
PANCHINA,Sedere,Parco,Legno,Riposare,Aspettare
CARAMELLA,Dolce,Zucchero,Carta,Bambini,Gusto
ROSSETTO,Labbra,Trucco,Rosso,Colore,Makeup
DIZIONARIO,Parole,Significato,Libro,Cercare,Definizione
FOTOCAMERA,Foto,Scattare,Obiettivo,Immagini,Digitale
LAVATRICE,Vestiti,Lavare,Bucato,Detersivo,Acqua
FORMAGGIO,Latte,Mucca,Giallo,Pizza,Grana
ARANCIA,Frutta,Succo,Agrume,Vitamina,Spremuta
ZAINO,Scuola,Spalle,Borsa,Libri,Portare
LENZUOLO,Letto,Bianco,Coperta,Dormire,Tessuto
RASOIO,Barba,Tagliare,Lame,Rasare,Bagno
TRAMPOLI,Alto,Circo,Camminare,Legno,Equilibrio
SCACCHIERA,Gioco,Bianco,Nero,Quadrati,Pedine
OROSCOPO,Segni,Stelle,Futuro,Zodiaco,Predire
PIGIAMA,Dormire,Vestito,Notte,Letto,Comodo
OCARINA,Strumento,Musica,Fiato,Zelda,Suonare
VENTAGLIO,Caldo,Estate,Aria,Sventolare,Mano
RASTRELLO,Giardino,Foglie,Attrezzo,Pulire,Manico
CAMALEONTE,Colore,Animale,Cambiare,Rettile,Lingua
BOOMERANG,Australia,Tornare,Lanciare,Legno,Aborigeni
MONOCICLO,Ruota,Circo,Equilibrio,Pedale,Clown
CUBO,Rubik,Quadrato,Puzzle,Geometria,Lati
KALEIDOSCOPIO,Colori,Specchio,Tubo,Disegni,Girare
STAMPELLE,Gambe,Ospedale,Camminare,Supporto,Infortunio
SGABELLO,Sedia,Alto,Sedere,Bar,Cucina
BUSSOLA,Nord,Direzione,Navigare,Ago,Orientare
PENDOLO,Oscillare,Orologio,Tempo,Dondolare,Fisica
BILANCIA,Peso,Misurare,Cucina,Equilibrio,Numeri
CLESSIDRA,Tempo,Sabbia,Scorrere,Vetro,Minuti
FIONDA,Lanciare,Elastico,Sassi,Tirare,Legno
NUNCHAKU,Arti,Marziali,Arma,Legno,Catena
KATANA,Spada,Samurai,Giappone,Lama,Guerra
KIMONO,Giappone,Vestito,Tradizione,Cintura,Karate
ARPA,Musica,Strumento,Corde,Angelo,Suonare
CARRIOLA,Giardino,Ruota,Trasportare,Attrezzo,Terra
MASCHERINA,Covid,Proteggere,Bocca,Chirurgo,Virus
CANOCCHIALE,Guardare,Mare,Lontano,Pirata,Lente
SCOOTER,Motorino,Due,Ruote,Guidare,Vespa
SKATEBOARD,Tavola,Ruote,Sport,Rampa,Trick
YOYO,Gioco,Corda,Scendere,Salire,Trick
MANGIANASTRI,Musica,Cassetta,Audio,Registrare,Vecchio
MANICHINO,Vestiti,Negozio,Modello,Vetrina,Plastica
MAPPAMONDO,Terra,Geografia,Globo,Paesi,Continenti
FISCHIETTO,Arbitro,Suono,Soffiare,Sport,Rumore
VENTOSA,Attaccare,Vuoto,Bagno,Plunger,Vetro
CATAPULTA,Lanciare,Medieval,Guerra,Proiettile,Fortezza
MEGAFONO,Voce,Forte,Parlare,Amplificare,Annuncio
BRINDISI,Bicchieri,Festa,Auguri,Bere,Celebrare
CARILLON,Musica,Scatola,Ballerina,Melodia,Girare
MONGOLFIERA,Volare,Aria,Cesto,Cielo,Fuoco
FLIPPER,Pallina,Gioco,Punti,Arcade,Levette
SEGNALIBRO,Pagina,Libro,Leggere,Nastro,Salvare
LAMPADARIO,Luce,Soffitto,Cristallo,Casa,Illuminare
GONDOLA,Venezia,Barca,Canale,Italia,Acqua
PIPISTRELLO,Notte,Volare,Batman,Grotta,Ali
FIOCCO,Nastro,Regalo,Capelli,Nodo,Decorazione
BAVAGLINO,Bambino,Mangiare,Proteggere,Pulire,Macchie
PARADOSSO,Contraddizione,Logica,Impossibile,Filosofia,Senso
FOTOSINTESI,Piante,Luce,Clorofilla,Ossigeno,Foglie
ALGORITMO,Computer,Sequenza,Programma,Istruzioni,Codice
CRIPTOVALUTA,Bitcoin,Digitale,Blockchain,Moneta,Trading
PALINDROMO,Parola,Leggere,Inverso,Uguale,Lettere
